,I-95 North,I-95 South,95 Express North,95 Express South,I-195 East,SR 826 North,SR 826 South,SR 836 East,SR 836 West,US-1 North,US-1 South
baseline acc,0.6923076923076923,0.6923076923076923,0.6239316239316239,0.8632478632478633,0.8290598290598291,0.7350427350427351,0.6581196581196581,0.5897435897435898,0.7264957264957265,0.8632478632478633,0.7350427350427351
train_acc,1.0,0.9885057471264368,0.9195402298850575,0.9425287356321839,0.9885057471264368,0.9425287356321839,1.0,0.9655172413793104,0.9540229885057471,0.9540229885057471,0.9310344827586207
test_acc,0.9,0.8666666666666667,0.7666666666666667,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.7
